"","Gravedad_victima","Fecha_incidente","Hora_incidente","Clase_incidente","Direccion_incidente","Sexo","Edad","Condicion","Mes","Dia","Num_dia","Hora","Grupo_edad","Año","Radicado","Latitud","Longitud","Comuna","Barrio"
"53259","Muertos","3/09/2015","08:11:00","Atropello","CR 40 CL 78 - 66","F","70","Peatón","Sept","Jue",3,"8","70 - 79",2015,5.00160000206202e+20,"6,270716794","-75,54936237","03 - Manrique","Santa Inés"
"53263","Muertos","3/09/2015","10:12:00","Atropello","CR 80 CL 87 A - 89","M","35","Peatón","Sept","Jue",3,"10","30 - 39",2015,43847,"6,221805674","-75,70381574","07 - Robledo","Sin Inf"
"53320","Muertos","3/09/2015","19:30:00","Caida Ocupante","CL 18 CR 97 - 82","M","18","Motociclista","Sept","Jue",3,"19","10 - 19",2015,44271,"6,223299641","-75,62083247","70 - Corregimiento de Altavista","Altavista Sector Central"
"53364","Muertos","4/09/2015","08:30:00","Caida Ocupante","CR 64 C CL 97 A - 150","M","80","Pasajero","Sept","Vie",4,"8","80 o más",2015,44388,"6,293919829","-75,56725972","05 - Castilla","Tricentenario"
"53455","Muertos","5/09/2015","03:25:00","Choque","K 0 + 545 MTS VIA MEDELLIN- SANPEDRO","M","52","Motociclista","Sept","Sáb",5,"3","50 - 59",2015,44290,"Sin Inf","Sin Inf","Sin Inf","Sin Inf"
"53665","Muertos","7/09/2015","11:35:00","Atropello","CL 66 A CR 45","M","74","Peatón","Sept","Lun",7,"11","70 - 79",2015,44608,"6,262379402","-75,55789586","04 - Aranjuez","Manrique Central No. 1"
"53674","Muertos","7/09/2015","12:30:00","Choque","CL 34 CR 45","M","52","Motociclista","Sept","Lun",7,"12","50 - 59",2015,44698,"6,234732359","-75,57133799","10 - La Candelaria","Perpetuo Socorro"
"53748","Muertos","8/09/2015","11:10:00","Choque","CR 60 CL 48","M","34","Motociclista","Sept","Mar",8,"11","30 - 39",2015,45448,"6,250725859","-75,57720963","10 - La Candelaria","Corazón de Jesús"
"53764","Muertos","8/09/2015","15:00:00","Atropello","CL 67 CR 56 57","M","58","Peatón","Sept","Mar",8,"15","50 - 59",2015,46775,"6,26466015","-75,57037671","10 - La Candelaria","El Chagualo"
"53797","Muertos","8/09/2015","21:20:00","Atropello","CR 70 CL 10","F","26","Peatón","Sept","Mar",8,"21","20 - 29",2015,44988,"6,21781284","-75,59287557","15 - Guayabal","Parque Juan Pablo II"
"54237","Muertos","12/09/2015","22:00:00","Atropello","CR 46 CL 77 -14","F","70","Peatón","Sept","Sáb",12,"22","70 - 79",2015,45771,"6,270528447","-75,55551981","04 - Aranjuez","Campo Valdés No. 1"
"54245","Muertos","12/09/2015","23:15:00","Atropello","CL 44 CR 58 - 68","M","25","Peatón","Sept","Sáb",12,"23","20 - 29",2015,48529,"6,247100893","-75,57743061","10 - La Candelaria","Corazón de Jesús"
"54267","Muertos","13/09/2015","04:10:00","Atropello","CR 64 CL 66 - 65","M","53","Peatón","Sept","Dom",13,"4","50 - 59",2015,45811,"6,266932994","-75,57216334","05 - Castilla","Caribe"
"55125","Muertos","22/09/2015","00:20:00","Atropello","CR 62 CL 51","M","65","Peatón","Sept","Mar",22,"0","60 - 69",2015,47381,"6,254395855","-75,57660657","10 - La Candelaria","San Benito"
"55152","Muertos","22/09/2015","11:15:00","Choque","CL 64 CR 127 75","M","11","Acompañante de Motocicleta","Sept","Mar",22,"11","10 - 19",2015,47527,"6,27961664","-75,63321807","60 - Corregimiento de San Cristóbal","Cabecera Urbana San Cristobal"
"55232","Muertos","23/09/2015","08:55:00","Choque","CR 108 CL 40","M","37","Ciclista","Sept","Mié",23,"8","30 - 39",2015,80648,"6,25461055","-75,62141101","13 - San Javier","San Javier No.1"
"55279","Muertos","23/09/2015","20:30:00","Atropello","CL 50 CR 59 19","M","48","Peatón","Sept","Mié",23,"20","40 - 49",2015,47808,"6,251750713","-75,57608351","10 - La Candelaria","Corazón de Jesús"
"55734","Muertos","28/09/2015","21:45:00","Caida Ocupante","Vía Las Palmas Km 9 + 30","M","19","Motociclista","Sept","Lun",28,"21","10 - 19",2015,48610,"6,152834955","-75,54014396","10 - La Candelaria","Sin Inf"
"55775","Muertos","29/09/2015","11:20:00","Atropello","CR 97 CL 69 C 50","F","6","Peatón","Sept","Mar",29,"11","0 - 9",2015,48760,"6,221805674","-75,70381574","60 - Corregimiento de San Cristóbal","Sin Inf"
"56024","Muertos","1/10/2015","19:12:00","Choque","CR 49 CL 20","M","29","Motociclista","Oct","Jue",1,"19","20 - 29",2015,49264,"6,224175454","-75,57511232","14 - El Poblado","Villa Carlota"
"56077","Muertos","2/10/2015","13:20:00","Choque","CR 64 C CL 93 - 94","M","26","Motociclista","Oct","Vie",2,"13","20 - 29",2015,49419,"6,28769144","-75,5698736","05 - Castilla","Oleoducto"
"56149","Muertos","3/10/2015","10:41:00","Caida Ocupante","CR 52 entre CL 10 y 14","M","31","Motociclista","Oct","Sáb",3,"10","30 - 39",2015,8766,"6,215175562","-75,58193915","15 - Guayabal","Campo Amor"
"56301","Muertos","5/10/2015","07:45:00","Choque","CR 48 CL 14 68","F","54","Motociclista","Oct","Lun",5,"7","50 - 59",2015,49692,"6,21561249","-75,57480266","14 - El Poblado","Villa Carlota"
"56302","Muertos","5/10/2015","07:50:00","Atropello","CR 52 CL 105 AA","F","78","Peatón","Oct","Lun",5,"7","70 - 79",2015,52142,"6,297530818","-75,5577184","02 - Santa Cruz","Andalucía"
"56306","Muertos","5/10/2015","08:30:00","Atropello","CR 50 CL 4 Sur","M","71","Peatón","Oct","Lun",5,"8","70 - 79",2015,50449,"6,203043373","-75,57995662","15 - Guayabal","Cristo Rey"
"56425","Muertos","6/10/2015","12:54:00","Atropello","CR 80 CL 45F 13","F","56","Peatón","Oct","Mar",6,"12","50 - 59",2015,50046,"6,254785528","-75,598839","12 - La América","La Floresta"
"56679","Muertos","9/10/2015","12:18:00","Choque","CR 46 CL 54","M","36","Motociclista","Oct","Vie",9,"12","30 - 39",2015,50751,"6,251338494","-75,56345912","10 - La Candelaria","Villa Nueva"
"56694","Muertos","9/10/2015","16:02:00","Atropello","CR 57 CL 49","M","30","Peatón","Oct","Vie",9,"16","30 - 39",2015,50840,"6,251338939","-75,57513869","10 - La Candelaria","Corazón de Jesús"
"56747","Muertos","10/10/2015","06:55:00","Choque","CL 18 CR 97 75","M","25","Conductor","Oct","Sáb",10,"6","20 - 29",2015,50016001239201497098,"6,223204884","-75,62008996","70 - Corregimiento de Altavista","Altavista Sector Central"
"56984","Muertos","12/10/2015","21:05:00","Atropello","CL 70 A CR 51-28","F","35","Peatón","Oct","Lun",12,"21","30 - 39",2015,51095,"6,26658959","-75,56230517","04 - Aranjuez","Sevilla"
"57554","Muertos","18/10/2015","17:40:00","Choque","CR 43 CL 63","M","18","Motociclista","Oct","Dom",18,"17","10 - 19",2015,50016000206201552896,"6,25648672","-75,5571936","08 - Villa Hermosa","San Miguel"
"57620","Muertos","19/10/2015","08:06:00","Atropello","CL 62 CR 85 - 261","M","21","Peatón","Oct","Lun",19,"8","20 - 29",2015,52177,"6,275033655","-75,59880716","07 - Robledo","Robledo"
"57749","Muertos","20/10/2015","17:40:00","Choque","CL 78 AB CR 63","M","49","Conductor","Oct","Mar",20,"17","50 - 59",2015,52766,"6,275783737","-75,56927169","04 - Aranjuez","Moravia"
"57767","Muertos","20/10/2015","20:00:00","Atropello","CR 50 CL 40-28","M","47","Peatón","Oct","Mar",20,"20","40 - 49",2015,52707,"6,240905654","-75,57127627","10 - La Candelaria","Barrio Colón"
"58083","Muertos","24/10/2015","09:50:00","Atropello","CL 42 C CR 63 C 145","M","67","Peatón","Oct","Sáb",24,"9","60 - 69",2015,62514,"6,246477589","-75,58247563","11 - Laureles Estadio","Los Conquistadores"
"58605","Muertos","30/10/2015","23:25:00","Atropello","CL 6 Sur CR 51","M","58","Peatón","Oct","Vie",30,"23","50 - 59",2015,54636,"6,203259174","-75,58522256","15 - Guayabal","Cristo Rey"
"58614","Muertos","31/10/2015","05:56:00","Atropello","CR 64 C CL 79 - 80","M","23","Motociclista","Oct","Sáb",31,"5","20 - 29",2015,54645,"6,275445479","-75,5736223","05 - Castilla","Terminal de Transporte"
"58652","Muertos","31/10/2015","13:30:00","Atropello","CR 81 CL 42 - 30","F","76","Peatón","Oct","Sáb",31,"13","70 - 79",2015,54837,"6,248969105","-75,60226545","11 - Laureles Estadio","Lorena"
"58758","Muertos","1/11/2015","16:30:00","Choque","CR 49 CL 32","M","30","Motociclista","Nov","Dom",1,"16","30 - 39",2015,54760,"6,233385116","-75,57348384","10 - La Candelaria","Perpetuo Socorro"
"58986","Muertos","4/11/2015","11:15:00","Atropello","CR 31 CL 60","M","68","Peatón","Nov","Mié",4,"11","60 - 69",2015,61684,"6,250000061","-75,55137475","08 - Villa Hermosa","Enciso"
"59015","Muertos","4/11/2015","16:35:00","Atropello","CL 120 CR 50 - 11","F","40","Peatón","Nov","Mié",4,"16","40 - 49",2015,55319,"6,30431718","-75,55275596","02 - Santa Cruz","Pablo Vi"
"59136","Muertos","6/11/2015","06:55:00","Caida Ocupante","KM 49 + 110","M","27","Motociclista","Nov","Vie",6,"6","20 - 29",2015,55570,"Sin Inf","Sin Inf","Sin Inf","Sin Inf"
"59214","Muertos","7/11/2015","06:30:00","Choque","CR 62 CL 34","M","35","Conductor","Nov","Sáb",7,"6","30 - 39",2015,50016000206201552896,"6,239620227","-75,57867083","11 - Laureles Estadio","Los Conquistadores"
"59360","Muertos","8/11/2015","18:57:00","Choque","CR 64 C CL 78","M","31","Motociclista","Nov","Dom",8,"18","30 - 39",2015,55892,"6,27618343","-75,57286309","05 - Castilla","Terminal De Transporte"
"59405","Muertos","9/11/2015","13:32:00","Choque","CL 30 CR 69 B 73","M","45","Ciclista","Nov","Lun",9,"13","40 - 49",2015,56041,"6,231427996","-75,59104554","16 - Belén","Sin Inf"
"59465","Muertos","10/11/2015","08:26:00","Atropello","CR 46 CL 52","M","55","Peatón","Nov","Mar",10,"8","50 - 59",2015,60915,"6,249259186","-75,56463793","10 - La Candelaria","La Candelaria"
"59694","Muertos","12/11/2015","16:24:00","Choque","CR 57 CL 51 - 175","M","21","Motociclista","Nov","Jue",12,"16","20 - 29",2015,56805,"6,255534644","-75,57405626","10 - La Candelaria","Sin Inf"
"59912","Muertos","15/11/2015","02:18:00","Choque","CR 62 CL 80 C","F","39","Acompañante de Motocicleta","Nov","Dom",15,"2","30 - 39",2015,57104,"6,277217197","-75,56888374","04 - Aranjuez","Moravia"
"59988","Muertos","16/11/2015","10:30:00","Atropello","CR 35 CL 34 E 16","M","76","Peatón","Nov","Lun",16,"10","70 - 79",2015,5001600206201556992,"6,233982396","-75,56284015","09 - Buenos Aires","El Salvador"
"60121","Muertos","17/11/2015","21:35:00","Choque","CR 66 B CL 29 100","F","20","Acompañante de Motocicleta","Nov","Mar",17,"21","20 - 29",2015,57529,"6,230257155","-75,58728426","15 - Guayabal","Parque Juan Pablo II"
"60322","Muertos","20/11/2015","07:10:00","Atropello","CR 57 CL 51","M","40","Peatón","Nov","Vie",20,"7","40 - 49",2015,58060,"6,254322212","-75,57480538","10 - La Candelaria","San Benito"
"60738","Muertos","24/11/2015","18:45:00","Choque","KM 6 Antigua via al mar","F","32","Acompañante de Motocicleta","Nov","Mar",24,"18","30 - 39",2015,58649,"Sin Inf","Sin Inf","Sin Inf","Sin Inf"
"60891","Muertos","26/11/2015","11:36:00","Atropello","CR 32 CL 75D 39","F","67","Peatón","Nov","Jue",26,"11","60 - 69",2015,59858,"6,268754046","-75,54487679","03 - Manrique","El Raizal"
"60895","Muertos","26/11/2015","12:18:00","Choque","CL 16 AA Sur CR 25 100","M","35","Motociclista","Nov","Jue",26,"12","30 - 39",2015,60530,"6,184139359","-75,56243719","14 - El Poblado","San Lucas"
"61032","Muertos","27/11/2015","19:00:00","Volcamiento","San Antonio de Prado Vereda Las Playas","F","59","Pasajero","Nov","Vie",27,"19","60 - 69",2015,50016000206201561098,"Sin Inf","Sin Inf","Sin Inf","Sin Inf"
"61373","Muertos","1/12/2015","12:40:00","Atropello","CL 62 A CR 94 B","M","74","Peatón","Dic","Mar",1,"12","70 - 79",2015,60254,"6,276921434","-75,60584812","07 - Robledo","Fuente Clara"
"61574","Muertos","3/12/2015","15:57:00","Atropello","CR 52 CL 7 - 30","M","78","Peatón","Dic","Jue",3,"15","70 - 79",2015,60409,"6,212541535","-75,58162858","15 - Guayabal","Campo Amor"
"61611","Muertos","3/12/2015","22:37:00","Choque","CR 39 POR CL 70","M","36","Motociclista","Dic","Jue",3,"22","30 - 39",2015,60673,"6,239540873","-75,59024922","11 - Laureles Estadio","U.P.B."
"61614","Muertos","4/12/2015","03:29:00","Atropello","CR 57 entre CL 41 y 42","F","62","Peatón","Dic","Vie",4,"3","60 - 69",2015,81055,"6,242749451","-75,57694528","10 - La Candelaria","Sin Inf"
"61719","Muertos","5/12/2015","09:37:00","Caida Ocupante","CR 45 CL 80 - 54","M","19","Motociclista","Dic","Sáb",5,"9","10 - 19",2015,60543,"6,273364864","-75,55395376","03 - Manrique","Campo Valdés No. 2"
"61721","Muertos","5/12/2015","10:08:00","Atropello","CR 52 CL 2 Sur","M","90","Peatón","Dic","Sáb",5,"10","80 o más",2015,60550,"6,20663367","-75,58599498","15 - Guayabal","Cristo Rey"
"61754","Muertos","5/12/2015","16:05:00","Atropello","CL 67 CR 48 - 28","F","83","Peatón","Dic","Sáb",5,"16","80 o más",2015,60576,"6,263240146","-75,55797798","04 - Aranjuez","Manrique Central No. 1"
"61829","Muertos","6/12/2015","13:14:00","Atropello","CL 58 CR 48 - 12","M","90","Peatón","Dic","Dom",6,"13","80 o más",2015,60639,"6,255389168","-75,56272108","10 - La Candelaria","Prado"
"61889","Muertos","7/12/2015","09:15:00","Caida Ocupante","CR 49 CL 17 Sur","M","28","Acompañante de Motocicleta","Dic","Lun",7,"9","20 - 29",2015,60710,"Sin Inf","Sin Inf","Sin Inf","Sin Inf"
"61954","Muertos","7/12/2015","20:56:00","Atropello","CL 58 CR 62","F","81","Peatón","Dic","Lun",7,"20","80 o más",2015,60892,"6,260362813","-75,57330223","10 - La Candelaria","El Chagualo"
"62058","Muertos","8/12/2015","23:25:00","Atropello","CR 65 CL 93","M","68","Peatón","Dic","Mar",8,"23","60 - 69",2015,60969,"6,286416944","-75,57033827","05 - Castilla","Castilla"
"62332","Muertos","12/12/2015","07:00","Choque","CR 48 CL 10-30","M","52","Motociclista","Dic","Sáb",12,"7","50 - 59",2015,1817,"6,213534236","-75,57611107","14 - El Poblado","Manila"
"62612","Muertos","15/12/2015","00:30:00","Choque","CR 62 CL 67","F","18","Pasajero","Dic","Mar",15,"0","10 - 19",2015,62125,"6,26510346","-75,5716468","04 - Aranjuez","Universidad De Antioquia"
"62640","Muertos","15/12/2015","08:25:00","Choque","CR 65 G CL 26 15","M","43","Ciclista","Dic","Mar",15,"8","40 - 49",2015,62634,"6,228022635","-75,58688089","15 - Guayabal","Trinidad"
"62725","Muertos","16/12/2015","07:22:00","Choque","CR 80 CL 80","F","44","Acompañante de Motocicleta","Dic","Mié",16,"7","40 - 49",2015,62422,"6,284437929","-75,58421079","07 - Robledo","López de Mesa"
"62797","Muertos","16/12/2015","19:00:00","Choque","CL 50 CR 62","M","39","Motociclista","Dic","Mié",16,"19","30 - 39",2015,62611,"6,25384781","-75,57642261","10 - La Candelaria","San Benito"
"62867","Muertos","17/12/2015","14:47:00","Atropello","CL 31 B CR 100 A 04","M","34","Peatón","Dic","Jue",17,"14","30 - 39",2015,62680,"6,23584716","-75,61956006","16 - Belén","Las Violetas"
"62999","Muertos","19/12/2015","02:15:00","Atropello","CR 65 CL 64","M","54","Peatón","Dic","Sáb",19,"2","50 - 59",2015,63551,"6,26338116","-75,57499797","07 - Robledo","Universidad Nacional"
"63442","Muertos","23/12/2015","23:02:00","Atropello","CL 44 CR 63 64","M","36","Peatón","Dic","Mié",23,"23","30 - 39",2015,63699,"6,248612294","-75,58034007","11 - Laureles Estadio","Naranjal"
"63619","Muertos","25/12/2015","20:18:00","Choque","CR 22 CL 47","M","17","Motociclista","Dic","Vie",25,"20","10 - 19",2015,63821,"6,236662757","-75,54906985","09 - Buenos Aires","Miraflores"
"63622","Muertos","25/12/2015","21:07:00","Choque","CR 83 A CL 48 BB 81","M","35","Acompañante de Motocicleta","Dic","Vie",25,"21","30 - 39",2015,63825,"6,261819936","-75,60258031","13 - San Javier","Los Alcázares"
"63625","Muertos","25/12/2015","21:50:00","Choque","CR 49 CL 12 Sur","F","41","Acompañante de Motocicleta","Dic","Vie",25,"21","40 - 49",2015,63828,"6,19481163","-75,58031131","14 - El Poblado","Santa María de Los Ángeles"
"63765","Muertos","27/12/2015","23:00:00","Choque","CL 30 CR 55","M","20","Motociclista","Dic","Dom",27,"23","20 - 29",2015,50016000206201561098,"6,231855595","-75,57986637","15 - Guayabal","Tenche"
"63887","Muertos","29/12/2015","19:30:00","Atropello","CR 80 CL 105 - 4","M","58","Peatón","Dic","Mar",29,"19","50 - 59",2015,6429,"6,306660607","-75,57652154","06 - Doce de Octubre","Santander"
"64032","Muertos","31/12/2015","23:20","Atropello","CR 28 CL 107 305","M","44","Peatón","Dic","Jue",31,"23","40 - 49",2015,625,"6,2966215","-75,5395806","01 - Popular","Santo Domingo Savio No. 2"
"64065","Muertos","1/01/2016","11:20:00","Caida Ocupante","CL 113 CR 81","M","55","Motociclista","Ene","Vie",1,"11","50 - 59",2016,6243,"6,310030703","-75,57681139","06 - Doce de Octubre","Doce de Octubre No.1"
"64129","Muertos","2/01/2016","12:55:00","Volcamiento","Cra 52 CL 30A","M","20","Conductor","Ene","Sáb",2,"12","20 - 29",2016,61,"6,232419346","-75,57685398","16 - Belén","Cerro Nutibara"
"64164","Muertos","2/01/2016","21:50:00","Atropello","CR 62 CL 58","M","56","Peatón","Ene","Sáb",2,"21","50 - 59",2016,50016000206201602058,"6,260362813","-75,57330223","10 - La Candelaria","El Chagualo"
"64457","Muertos","6/01/2016","22:00:00","Choque","CR 51 C CL 71 - 68","M","48","Ciclista","Ene","Mié",6,"22","40 - 49",2016,50016000206201610240,"6,268089681","-75,56358872","04 - Aranjuez","Sevilla"
"64493","Muertos","7/01/2016","15:30:00","Caida Ocupante","Cra 24 CL 59 B 02","F","49","Acompañante de Motocicleta","Ene","Jue",7,"15","50 - 59",2016,812,"6,252261571","-75,54656161","08 - Villa Hermosa","Los Mangos"
"64733","Muertos","10/01/2016","22:08:00","Choque","Via Santa Elena Km 11 + 940","M","49","Motociclista","Ene","Dom",10,"22","50 - 59",2016,1148,"6,232655266","-75,50719878","90 - Corregimiento de Santa Elena","Media Luna"
"64738","Muertos","11/01/2016","05:54:00","Choque","Cra 63 Cl 44","M","57","Ciclista","Ene","Lun",11,"5","50 - 59",2016,1164,"6,248048074","-75,58046807","11 - Laureles Estadio","Naranjal"
"65137","Muertos","16/01/2016","08:40:00","Atropello","CR 62 CL 55","M","38","Motociclista","Ene","Sáb",16,"8","30 - 39",2016,2182,"6,174669076","-75,64337038","10 - La Candelaria","Cabecera San Antonio de Prado"
"65221","Muertos","17/01/2016","03:30:00","Choque","CR 62 CL 75B - 77","M","20","Pasajero","Ene","Dom",17,"3","20 - 29",2016,3708,"6,267985786","-75,58921016","04 - Aranjuez","San Germán"
"65222","Muertos","17/01/2016","04:00:00","Choque","CR 32 CL 101 - 77","M","26","Motociclista","Ene","Dom",17,"4","20 - 29",2016,2295,"6,290620237","-75,54293613","01 - Popular","Granizal"
"65337","Muertos","18/01/2016","15:20:00","Atropello","CL 56 EH CR 18A - 44","M","26","Peatón","Ene","Lun",18,"15","20 - 29",2016,2608,"6,244352798","-75,5403455","90 - Corregimiento de Santa Elena","Piedras Blancas"
"65442","Muertos","19/01/2016","14:00:00","Choque","CR 48 CL 04 - 38","M","24","Motociclista","Ene","Mar",19,"14","20 - 29",2016,50016000206201602058,"6,221805674","-75,70381574","09 - Buenos Aires","Sin Inf"
"65714","Muertos","22/01/2016","15:15:00","Choque","CR 64 C CL 89 - 112","F","12","Acompañante de Motocicleta","Ene","Vie",22,"15","10 - 19",2016,3646,"6,284388531","-75,57071401","05 - Castilla","Oleoducto"
"65771","Muertos","23/01/2016","07:39:00","Atropello","CR 57 entre CL 45 A y 46","M","62","Peatón","Ene","Sáb",23,"7","60 - 69",2016,4856,"6,248768731","-75,57511515","10 - La Candelaria","Guayaquil"
"65793","Muertos","23/01/2016","12:00:00","Atropello","CR 63 CL 120","M","38","Peatón","Ene","Sáb",23,"12","30 - 39",2016,50016000206201602058,"6,310698696","-75,55748709","05 - Castilla","Toscana"
"65838","Muertos","23/01/2016","22:15:00","Choque","CL 90 CR 50","F","27","Motociclista","Ene","Sáb",23,"22","20 - 29",2016,4406,"6,282164472","-75,55797393","04 - Aranjuez","Aranjuez"
"65884","Muertos","24/01/2016","11:16:00","Choque","CL 58 CR 57","M","20","Motociclista","Ene","Dom",24,"11","20 - 29",2016,3825,"6,258698841","-75,57211859","10 - La Candelaria","El Chagualo"
"65888","Muertos","24/01/2016","14:05:00","Atropello","CR 63 CL 91 - 70","M","53","Peatón","Ene","Dom",24,"14","50 - 59",2016,3929,"6,283632496","-75,56854065","05 - Castilla","Oleoducto"
"65899","Muertos","24/01/2016","17:13:00","Choque","KM 0 + 903 MTS Via Heliia San Antonio de Prado","M","24","Motociclista","Ene","Dom",24,"17","20 - 29",2016,3855,"6,221805674","-75,70381574","80 - Corregimiento de San Antonio de Prado","Cabecera San Antonio de Prado"
"66494","Muertos","31/01/2016","21:00:00","Choque","Vereda el Llano San Cristobal","M","28","Motociclista","Ene","Dom",31,"21","20 - 29",2016,5313,"6,221805674","-75,70381574","60 - Corregimiento de San Cristóbal","Suburbano El Llano"
"66889","Muertos","4/02/2016","18:50:00","Atropello","CL 58 CR 54 - 24","M","Sin Inf","Peatón","Feb","Jue",4,"18","20 - 29",2016,6376,"6,257777462","-75,56979238","10 - La Candelaria","Jesús Nazareno"
"67114","Muertos","6/02/2016","22:30:00","Atropello","CR 48 CL 121","F","58","Peatón","Feb","Sáb",6,"22","50 - 59",2016,6827,"6,303834379","-75,5497312","02 - Santa Cruz","La Isla"
"67166","Muertos","7/02/2016","17:50:00","Atropello","CR 84 A CL 104 CC 09","F","73","Peatón","Feb","Dom",7,"17","70 - 79",2016,6874,"6,30742786","-75,58266831","06 - Doce de Octubre","El Progreso No.2"
"67183","Muertos","7/02/2016","22:15:00","Atropello","CR 46 CL 45 - 30","M","60","Peatón","Feb","Dom",7,"22","60 - 69",2016,8238,"6,244977698","-75,56772413","10 - La Candelaria","Barrio Colón"
"67355","Muertos","9/02/2016","18:36:00","Atropello","CR 43 A CL 12 A Sur 190","M","86","Peatón","Feb","Mar",9,"18","80 o más",2016,7401,"6,19124484","-75,57521542","14 - El Poblado","El Castillo"
"67359","Muertos","9/02/2016","18:50:00","Atropello","CL 53 CR 74 -175","M","87","Peatón","Feb","Mar",9,"18","80 o más",2016,21330,"6,265061408","-75,59219028","11 - Laureles Estadio","Cuarta Brigada"
"68120","Muertos","17/02/2016","19:30:00","Choque","KM 15 + 920 Sector el Cartucho Santa Elena","M","17","Ciclista","Feb","Mié",17,"19","10 - 19",2016,9109,"6,220814821","-75,50185309","90 - Corregimiento de Santa Elena","Sin Inf"
"68121","Muertos","17/02/2016","19:30:00","Choque","KM 15 + 920 Sector el Cartucho Santa Elena","M","19","Ciclista","Feb","Mié",17,"19","10 - 19",2016,9109,"6,220814821","-75,50185309","90 - Corregimiento de Santa Elena","Sin Inf"
"68122","Muertos","17/02/2016","19:30:00","Choque","KM 15 + 920 Sector el Cartucho Santa Elena","M","15","Ciclista","Feb","Mié",17,"19","10 - 19",2016,9109,"6,220814821","-75,50185309","90 - Corregimiento de Santa Elena","Sin Inf"
"68137","Muertos","17/02/2016","22:10:00","Atropello","CR 60 CL 42","M","60","Peatón","Feb","Mié",17,"22","60 - 69",2016,10552,"6,182516939","-75,64031425","10 - La Candelaria","Cabecera San Antonio de Prado"
"68324","Muertos","19/02/2016","18:00:00","Atropello","CR 57 CL 46","F","55","Peatón","Feb","Vie",19,"18","50 - 59",2016,9722,"6,249125105","-75,57519872","10 - La Candelaria","Guayaquil"
"68356","Muertos","20/02/2016","03:30:00","Atropello","CR 52 CL 82 - A - 135","F","50","Peatón","Feb","Sáb",20,"3","50 - 59",2016,9723,"6,277669597","-75,56396852","04 - Aranjuez","Bermejal-Los Alamos"
"68450","Muertos","20/02/2016","21:30:00","Choque","CL 33 CR 66 B - 101","M","36","Motociclista","Feb","Sáb",20,"21","30 - 39",2016,9705,"6,2391134","-75,58853468","16 - Belén","Rosales"
"68469","Muertos","21/02/2016","03:15:00","Choque","CR 64 C CL 93 - 94","M","40","Motociclista","Feb","Dom",21,"3","40 - 49",2016,9718,"6,287186203","-75,56982156","05 - Castilla","Oleoducto"
"68575","Muertos","22/02/2016","13:50:00","Atropello","CL 47 CR 79A - 23","M","57","Peatón","Feb","Lun",22,"13","50 - 59",2016,10040,"6,25257303","-75,58747376","11 - Laureles Estadio","Naranjal"
"68609","Muertos","22/02/2016","18:25:00","Atropello","CL 59 CR 47 - 18","F","52","Peatón","Feb","Lun",22,"18","50 - 59",2016,10105,"6,25554041","-75,56178077","10 - La Candelaria","Prado"
"68628","Muertos","22/02/2016","21:00:00","Choque","CR 64 C CL 93 - 94","M","55","Motociclista","Feb","Lun",22,"21","50 - 59",2016,10038,"6,287186203","-75,56982156","05 - Castilla","Oleoducto"
"68677","Muertos","23/02/2016","14:10:00","Atropello","CR 76 CL 25 - 28","F","61","Peatón","Feb","Mar",23,"14","60 - 69",2016,10538,"6,227543001","-75,59649844","16 - Belén","San Bernardo"
"68920","Muertos","26/02/2016","13:20:00","Choque","CL 34B CR 94 - 147","M","19","Motociclista","Feb","Vie",26,"13","10 - 19",2016,11046,"6,245438671","-75,62100276","15 - Guayabal","Betania"
"68928","Muertos","26/02/2016","14:50:00","Atropello","CL 25 CR 65 F - 49","M","75","Peatón","Feb","Vie",26,"14","70 - 79",2016,15402,"6,225289154","-75,58689351","15 - Guayabal","Trinidad"
"69226","Muertos","29/02/2016","10:05:00","Atropello","CR 80 CL 44B - 24","M","88","Peatón","Feb","Lun",29,"10","80 o más",2016,11485,"6,252358614","-75,60150246","12 - La América","Los Pinos"
"69277","Muertos","29/02/2016","19:35:00","Atropello","CL 99 CR 70 - 26","F","88","Peatón","Feb","Lun",29,"19","80 o más",2016,11462,"6,295556195","-75,57242774","05 - Castilla","Girardot"
"69366","Muertos","1/03/2016","18:10:00","Atropello","CR 32 CL 91 - 05","M","88","Peatón","Mar","Mar",1,"18","80 o más",2016,11716,"6,282403702","-75,54473506","03 - Manrique","La Salle"
"69386","Muertos","1/03/2016","23:45:00","Atropello","CR 50 CL 10 - 30","F","32","Peatón","Mar","Mar",1,"23","30 - 39",2016,11724,"6,213987204","-75,57831902","15 - Guayabal","Campo Amor"
"69413","Muertos","2/03/2016","11:25:00","Caida Ocupante","CR 80 CL 80","M","65","Pasajero","Mar","Mié",2,"11","60 - 69",2016,11885,"6,284437929","-75,58421079","07 - Robledo","López de Mesa"
"69442","Muertos","2/03/2016","17:28:00","Choque","CR 62 CL 45 - 05","F","38","Motociclista","Mar","Mié",2,"17","30 - 39",2016,11950,"6,248443256","-75,57967631","10 - La Candelaria","Corazón de Jesús"
"69732","Muertos","5/03/2016","18:30:00","Atropello","CR 62 CL 41","M","Sin Inf","Peatón","Mar","Sáb",5,"18","20 - 29",2016,12617,"6,242086223","-75,57769384","10 - La Candelaria","La Alpujarra"
